高清央视,#genre#
CCTV14少儿01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb22]/wh7f454c46tw340147088_1594094424/ott.mobaibox.com/PLTV/3/224/3221228292/index.m3u8?icpid=3&RTS=1668595134&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV14少儿02[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV14少儿03[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1240
CCTV15音乐01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb22]/wh7f454c46tw434828587_188325560/ott.mobaibox.com/PLTV/3/224/3221228404/index.m3u8?icpid=3&RTS=1668595229&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV15音乐02[25P8M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV15音乐03[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1338
CCTV16奥林匹克01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw456909575_2098882473/ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8?icpid=3&RTS=1668595251&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
CCTV16奥林匹克02[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1248
CCTV16奥林匹克03-4K[25P15M],http://www.biaozhun114.com/tvbox/iptv9.php?1258
CCTV16奥林匹克04[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17农业农村01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb23]/wh7f454c46tw483903016_-67353299/ott.mobaibox.com/PLTV/3/224/3221228407/index.m3u8?icpid=3&RTS=1668595278&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV17农业农村02[5P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1241
CCTV17农业农村03[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CGTN英语[50P8M]01,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8
CGTN英语[50P8M]02,http://222.217.246.54:8282/tsfile/live/1087_1.m3u8



高清卫视,#genre#
北京卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw2687876293_-1703018199/ott.mobaibox.com/PLTV/3/224/3221227508/index.m3u8?icpid=3&RTS=1668597482&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
北京卫视02[25P8M],http://175.43.106.30:4022/rtp/239.61.2.32:8186
北京卫视03[25P8M],http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/bjwshd8m/8000000/mnf.m3u8
北京卫视04[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000020451/1.m3u8?channel-id=wasusyt&Contentid=6000000001000020451&livemode=1&stbId=3
北京卫视05[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225796/1.m3u8
北京卫视06[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1029
东方卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw2542426131_1585848046/ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8?icpid=3&RTS=1668597336&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
东方卫视02[25P12M],http://221.7.175.154:8445/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视03[25P12M],http://ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8
东方卫视04[50P8M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797/1.m3u8
东方卫视05[50P8M],http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/dfwshd8m/8000000/mnf.m3u8
东方卫视06[50P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000014098/1.m3u8?channel-id=bestzb&Contentid=5000000004000014098&livemode=1&stbId=3
东方卫视07[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1013
湖南卫视01[25P12M],http://221.7.175.154:8445/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视02[25P12M],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
湖南卫视03[25P12M],http://221.7.175.154:8445/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视04[25P12M],http://ott.mobaibox.com/PLTV/3/224/3221227482/index.m3u8
湖南卫视05[25P8M],http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/hunanwshd8m/8000000/mnf.m3u8
湖南卫视06[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/wh7f454c46tw211841812_-1243690554/ott.mobaibox.com/PLTV/3/224/3221228413/index.m3u8?icpid=3&RTS=1674380327&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
湖南卫视07[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000006692/1.m3u8?channel-id=bestzb&Contentid=5000000004000006692&livemode=1&stbId=3
湖南卫视08[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000032695/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032695&livemode=1&stbId=3
湖南卫视09[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000006692/1.m3u8?channel-id=bestzb&Contentid=5000000004000006692&livemode=1&stbId=3
湖南卫视10[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8
湖南卫视11[50P8M],http://sxd.nyxg.vip:40000/udp/239.77.0.88:5146
